Binomial,Area,FID_2,TID,Group,Value,area2
Ameiva concolor,24972.703030,"366",R08812,lizard,"1",24972.045
Ameiva corax,3.415104,"367",R08813,lizard,"1",3.415
Ameiva corvina,0.974077,"368",R08814,lizard,"1",0.974
Ameiva dorsalis,9720.340765,"369",R08815,lizard,"1",9720.339
Ameiva erythrocephala,298.223895,"370",R08816,lizard,"1",298.224
Ameiva exsul,9432.160310,"371",R08817,lizard,"1",9432.162
Ameiva fuliginosa,11.848587,"372",R08818,lizard,"1",11.849
Ameiva fuscata,766.689740,"373",R08819,lizard,"1",766.690
Ameiva griswoldi,366.978030,"374",R08820,lizard,"1",366.978
Ameiva jacuba,19.992561,"375",R08821,lizard,"1",19.993
Ameiva lineolata,37967.112033,"376",R08822,lizard,"1",37967.125
Ameiva maynardi,1703.224533,"378",R08824,lizard,"1",1703.223
Ameiva nodam,48736.155242,"379",R08825,lizard,"1",48736.617
Ameiva pantherina,1175.206060,"380",R08826,lizard,"1",1175.358
Ameiva parecis,116292.905759,"381",R08827,lizard,"1",116292.908
Ameiva plei,229.346322,"382",R08828,lizard,"1",229.346
Ameiva pluvianotata,103.336453,"383",R08829,lizard,"1",103.337
Ameiva polops,133.113603,"384",R08830,lizard,"1",133.114
Ameiva praesignis,259725.880072,"385",R08831,lizard,"1",259725.840
Ameiva provitaae,9.996281,"386",R08832,lizard,"1",9.996
Ameiva reticulata,1020.489422,"387",R08833,lizard,"1",1020.489
Ameiva taeniura,67214.700734,"388",R08834,lizard,"1",67214.699
Ameiva wetmorei,1126.366664,"389",R08835,lizard,"1",1126.367
Ameivula abaetensis,104574.647143,"390",R08836,lizard,"1",104574.674
Ameivula abalosi,115294.742516,"391",R08837,lizard,"1",115294.745
Ameivula cipoensis,679.060003,"392",R08838,lizard,"1",679.066
Ameivula confusioniba,1830.338837,"393",R08839,lizard,"1",1830.421
Ameivula cyanura,19.992561,"394",R08840,lizard,"1",19.993
Ameivula jalapensis,125663.934847,"395",R08841,lizard,"1",125663.935
Ameivula littoralis,74091.302404,"396",R08842,lizard,"1",74091.397
Ameivula mumbuca,187081.498229,"397",R08843,lizard,"1",187081.498
Ameivula nativo,28399.518866,"398",R08844,lizard,"1",28399.508
Ameivula nigrigula,9.996281,"399",R08845,lizard,"1",9.996
Ameivula ocellifera,6685553.057750,"400",R08846,lizard,"1",6685545.088
Ameivula pyrrhogularis,31023.147922,"401",R08847,lizard,"1",31023.148
Ameivula venetacauda,9.996281,"402",R08848,lizard,"1",9.996
Ameivula xacriaba,9.996281,"403",R08849,lizard,"1",9.996
Amerotyphlops amoipira,62826.669915,"404",R09153,snake,"1",62826.671
Amerotyphlops arenensis,9.996281,"405",R09154,snake,"1",9.996
Amerotyphlops brongersmianus,13453604.495244,"406",R09155,snake,"1",13453605.608
Amerotyphlops costaricensis,20353.373999,"407",R09156,snake,"1",20293.244
