Species,Order,Family,Genus,Main biogeographic region,Microhabitat,Habitat type,Minimal elevation (m),Maximum elevation (m),Diet ,Active time,Foraging mode,Maximum Longevity (years),Maximum body mass (g),"Maximum female length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum male length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum juvenile length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)",Hatchling/neonate mass (g),Reproductive mode,Mean number of offspring per litter or number of eggs per clutch,Smallest clutch size,Largest clutch size,Number of litters or clutches produced per year,Egg length (mm),Egg width (mm),Mean Tb,Minimum Tb,Maximum Tb
Cyrtodactylus phongnhakebangensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest/Rocky,50,580,Carnivorous,Nocturnal,NA,NA,21.4,91.7,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus phukhaensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest,NA,NA,Carnivorous,Nocturnal,NA,NA,27.5,114.7,NA,NA,NA,oviparous,NA,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus phumyensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus phuocbinhensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Forest,640,1140,NA,Nocturnal,NA,NA,4.8,46,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus phuquocensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest,NA,NA,NA,Nocturnal,NA,NA,12.6,82.8,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus pinlaungensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,NA,1460,1540,NA,NA,NA,NA,22.4,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus pronarus,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Saxicolous,Forest,282,552,Carnivorous,NA,NA,NA,41.7,125.7,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus psarops,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Terrestrial,Forest,950,1420,NA,Nocturnal,NA,NA,11.0,67.7,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus pseudoquadrivirgatus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest/Wetlands,400,1100,Carnivorous,Nocturnal,NA,NA,13.2,75.1,NA,NA,NA,oviparous,1.0,1,1,NA,NA,NA,NA,NA,NA
Cyrtodactylus pubisulcus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Terrestrial,Forest,217,978,Carnivorous,Nocturnal,AMB,NA,9.3,73.3,NA,NA,NA,oviparous,2.0,1,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus puhuensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,Forest,630,640,NA,Nocturnal,NA,NA,10.0,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus pulchellus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest/Rocky,0,2000,Carnivorous,Nocturnal,NA,4.8,35.5,NA,NA,33,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus punctatus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus pyadalinensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Terrestrial,NA,210,350,NA,NA,NA,NA,7.8,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus pyinyaungensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,640,650,NA,Nocturnal,NA,NA,7.6,67.9,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus quadrivirgatus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Caves/Forest/Subterranean,40,790,Carnivorous,Nocturnal,NA,NA,8.7,63.3,NA,25.5,NA,oviparous,1.9,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus raglai,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Forest,NA,NA,NA,NA,NA,NA,18.6,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus ranongensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,Forest,NA,NA,NA,Nocturnal,NA,NA,4.6,57.6,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus redimiculus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Terrestrial,Forest/Wetlands,300,1000,NA,Nocturnal,NA,NA,16.2,82.4,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus relictus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus rex,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,NA,0,690,NA,NA,NA,NA,85.1,154.3,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus rishivalleyensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Terrestrial,Forest,1000,1100,NA,Nocturnal,NA,NA,3.2,49.6,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus rivularis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus robustus,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,Forest,50,720,NA,Nocturnal,NA,NA,70.8,146.9,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus roesleri,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest/Rocky,290,310,NA,Nocturnal,NA,NA,8.7,71.7,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus rosichonarieforum,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Terrestrial,Forest,NA,NA,NA,Nocturnal,NA,NA,3.5,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus rubidus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Terrestrial,Forest,158,609,Carnivorous,Nocturnal,NA,NA,10.2,NA,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus rufford,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Rocky,160,180,NA,Nocturnal,NA,NA,7.8,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus rukhadeva,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus russelli,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Forest,220,230,NA,Nocturnal,NA,NA,28.8,116,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus sadanensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,NA,20,30,NA,Nocturnal,NA,NA,8.3,63.5,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus sadansinensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,20,30,NA,Nocturnal,NA,NA,7.1,67.5,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus sadleiri,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest,72,222,Carnivorous,Nocturnal,NA,NA,13.5,NA,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus saiyok,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest,350,530,NA,Nocturnal,NA,NA,4.9,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus salomonensis,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,Forest,105,589,Carnivorous,Nocturnal,ACT,NA,50.1,121.8,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus samroiyot,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Rocky,NA,NA,NA,Nocturnal,NA,NA,6.3,66.9,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus sangi,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,NA,NA,NA,NA,Nocturnal,NA,NA,3.9,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus sanook,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Caves/Subterranean,NA,NA,NA,Nocturnal,ACT,NA,10.0,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus sanpelensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,NA,40,50,NA,Nocturnal,NA,NA,8.3,69.4,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus santana,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus semenanjungensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,Forest,NA,NA,NA,Nocturnal,NA,NA,7.4,64,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus semiadii,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Rocky,60,100,NA,Nocturnal,NA,NA,2.4,47,NA,NA,NA,oviparous,1.5,1,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus semicinctus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Terrestrial,Forest,1750,2010,NA,Nocturnal,NA,NA,13.8,86,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus septentrionalis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Rocky/Wetlands,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus septimontium,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,380,440,NA,NA,NA,NA,14.5,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus seribuatensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous/Terrestrial,NA,72,222,Carnivorous,Nocturnal,ACT,NA,8.7,66.2,NA,26.5,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus sermowaiensis,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,Forest,0,950,NA,NA,NA,NA,21.9,73.4,NA,NA,NA,oviparous,1.5,1,1,NA,NA,NA,NA,NA,NA
Cyrtodactylus serratus,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,Forest,540,740,NA,Nocturnal,NA,NA,69.2,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus sharkari,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest/Rocky,250,260,NA,Nocturnal,NA,NA,19.1,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus shwetaungorum,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous/Terrestrial,NA,630,740,NA,Nocturnal,NA,NA,20.4,101.4,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus siahaensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus sinyineensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,20,30,NA,Nocturnal,NA,NA,14.8,88.9,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus slowinskii,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest,279,330,NA,Nocturnal,NA,NA,23.4,76,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus soba,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest,600,1500,Carnivorous,Nocturnal,NA,NA,22.4,97.7,NA,39.5,NA,oviparous,2.0,2,2,NA,NA,NA,25.6,NA,NA
Cyrtodactylus sommerladi,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Caves/Forest/Rocky/Subterranean,260,620,NA,Nocturnal,NA,NA,10.5,74.3,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus soni,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Forest/Rocky,10,30,NA,Nocturnal,NA,NA,20.9,94.9,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus sonlaensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,NA,890,1200,NA,Nocturnal,NA,NA,11.5,77.2,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus soudthichaki,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest,150,170,NA,Nocturnal,NA,NA,7.1,70,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus speciosus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Terrestrial,Forest/Shrubland,NA,NA,NA,Nocturnal,NA,NA,3.5,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus spelaeus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Caves/Forest/Subterranean,180,190,NA,Nocturnal,NA,NA,14.8,91,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus spinosus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,Forest,690,700,NA,Nocturnal,NA,NA,11.5,80.2,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus srilekhae,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Terrestrial,Forest/Shrubland,800,1400,NA,Nocturnal,NA,NA,2.8,46.3,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus stellatus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus stresemanni,Squamata,Gekkonidae,Cyrtodactylus,Oriental,NA,Forest,NA,NA,NA,Nocturnal,NA,NA,21.4,NA,NA,NA,NA,oviparous,1.5,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus sumonthai,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Caves/Rocky/Subterranean,NA,NA,Carnivorous,Nocturnal,NA,NA,10.5,70.9,NA,25.2,NA,oviparous,1.5,1,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus sumuroi,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest/Wetlands,80,140,NA,Nocturnal,NA,NA,15.1,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus surin,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,Forest,NA,NA,NA,Nocturnal,NA,NA,10.5,67.3,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus sworderi,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest/Wetlands,426,674,NA,Nocturnal,NA,NA,10.2,NA,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus tahuna,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,Forest,NA,NA,NA,Nocturnal,NA,NA,10.0,79.2,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus takouensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Caves/Forest/Subterranean,NA,NA,NA,Nocturnal,NA,NA,10.7,77.7,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus tamaiensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,Forest,NA,NA,NA,Nocturnal,NA,NA,14.1,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus tambora,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Terrestrial,Forest,20,140,NA,Nocturnal,NA,NA,2.4,43.4,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus tanahjampea,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest,100,320,NA,NA,NA,NA,8.9,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus tanim,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal/Saxicolous,NA,540,1080,NA,Nocturnal,NA,NA,17.4,91.7,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus taungwineensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus tautbatorum,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest/Wetlands,304,933,NA,Nocturnal,NA,NA,6.8,62.2,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus taybacensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,NA,610,720,NA,NA,NA,NA,17.8,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus tayhoaensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus taynguyenensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest,NA,NA,NA,Nocturnal,NA,NA,12.3,74.1,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus tebuensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest,NA,NA,NA,Nocturnal,NA,NA,12.3,77.7,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus teyniei,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Caves/Forest/Subterranean,NA,NA,NA,Diurnal,AMB,NA,14.1,89.9,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus thathomensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus thirakhupti,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Caves/Subterranean,0,40,NA,Nocturnal,NA,NA,10.2,73.9,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus thochuensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,Nocturnal,NA,NA,12.6,85.4,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus thongphaphumensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus thuongae,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Caves/Forest/Subterranean,NA,NA,NA,Nocturnal,NA,NA,9.5,73.6,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus thylacodactylus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Terrestrial,NA,550,970,NA,NA,NA,NA,8.5,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus tibetanus,Squamata,Gekkonidae,Cyrtodactylus,Palearctic,Arboreal/Saxicolous/Terrestrial,Rocky/Shrubland,NA,NA,NA,Nocturnal,NA,NA,3.5,54,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus tigroides,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Caves/Forest/Rocky/Subterranean,NA,NA,Carnivorous,Nocturnal,NA,NA,12.3,74.6,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus timur,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest/Wetlands,640,700,NA,Nocturnal,NA,NA,31.6,112.2,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus tiomanensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Caves/Forest/Subterranean,50,150,Carnivorous,Nocturnal,NA,NA,12.9,85.5,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus triedrus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Terrestrial,Forest,700,980,Carnivorous,Nocturnal,NA,NA,5.1,51,NA,23,NA,oviparous,2.0,2,2,NA,NA,NA,23.4,NA,NA
Cyrtodactylus trilatofasciatus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Forest/Rocky,1000,1500,Carnivorous,Nocturnal,NA,NA,33.1,110.6,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus tripartitus,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,Forest,10,440,NA,Nocturnal,NA,NA,56.2,138.3,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus tripuraensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Rocky,20,90,NA,NA,NA,NA,7.2,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus tuberculatus,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Saxicolous/Terrestrial,Caves/Forest/Rocky/Subterranean,301,494,Carnivorous,Nocturnal,NA,10.0,47.9,105.5,NA,44.5,NA,oviparous,2.0,2,2,4.0,NA,NA,NA,NA,NA
Cyrtodactylus urbanus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus uthaiensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus varadgirii,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Terrestrial,Forest/Shrubland,0,350,NA,Nocturnal,NA,NA,3.8,50.4,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus variegatus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Forest,NA,NA,Carnivorous,Nocturnal,NA,NA,7.4,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus vedda,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus vilaphongi,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest/Rocky,570,600,NA,Nocturnal,NA,NA,12.6,73.5,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus wakeorum,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Forest,NA,NA,NA,Nocturnal,NA,NA,5.5,63.8,NA,33,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus wallacei,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,Caves/Forest/Subterranean,NA,NA,NA,NA,NA,NA,26.9,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus wangkulangkulae,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,Forest,NA,NA,NA,Nocturnal,NA,NA,8.3,73.9,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus wayakonei,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Caves/Forest/Subterranean,730,810,NA,Nocturnal,NA,NA,15.5,85,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
